Driver_ID,Car_Number_Plate,Driver_Name,Total_Rides,Rating,Phone_Number,City
1,BH 6658 YR,Vikram Sheoran,90,2.6,4442365483,Keonjhar
2,BH 0375 VI,Kavita Goyal,37,3.5,7748105833,Valsad
3,BH 5093 AT,Sanjay Kumar,70,4.2,8175757537,Balasore
4,BH 5967 UN,Arun Sharma,132,3.3,3011763433,Bhiwandi
5,BH 6637 EO,Shivam Jindal,46,3.3,7898003291,Vikasnagar
6,BH 3299 DX,Sourav Sheoran,146,3.2,1873218121,Sasaram
7,BH 9837 PR,Arun Patil,130,4.0,7484896637,Washim
8,BH 9258 RP,Sanjay Patil,101,3.5,7889380202,Rajpura
9,BH 4494 BL,Sanjay Mishra,106,4.0,5672433328,Churu
10,BH 9652 JV,Arun Sharma,132,2.5,9286135038,Dausa
11,BH 1065 DS,Arun Goyal,126,3.0,2852927348,Bekal
12,BH 7592 SQ,Shivam Gupta,54,5.0,6498852830,Karaikudi
13,BH 0324 MU,Priya Goyal,114,4.7,8845062608,Mukteshwar
14,BH 1920 HQ,Shivam Singh,79,2.8,6901747500,Chittoor
15,BH 3682 HZ,Rajesh Reddy,76,4.7,3422552630,Adilabad
16,BH 7143 QJ,Shivam Sharma,118,3.4,8762732822,Naharlagun
17,BH 2689 WH,Vedant Patil,145,4.0,8022506799,Sakti
18,BH 9558 RT,Amit Jha,45,2.3,6035051023,Allahabad
19,BH 0533 NW,Sourav Patil,124,2.1,3795568936,Navi Mumbai
20,BH 0753 EN,Ashwin Reddy,92,4.6,1111290700,Dimapur
21,BH 7215 YG,Amit Sharma,35,2.2,6487966290,Sonamarg
22,BH 3242 QX,Arun Patil,42,2.2,9463369637,Rangat
23,BH 3447 JQ,Ashwin Sheoran,148,4.7,8638628142,Kalka
24,BH 6184 WI,Ashwin Gupta,109,2.3,2019923971,Bidar
25,BH 4667 UI,Kavita Gupta,69,4.9,8125834099,Sancoale
26,BH 4223 YJ,Rajesh Sheoran,127,4.2,9246520921,Harihar
27,BH 4779 WE,Ashwin Sharma,121,3.6,8511365887,Nagaur
28,BH 3505 TY,Vedant Jha,118,2.3,2390144485,Coimbatore
29,BH 7436 TC,Arun Goyal,80,5.0,3625821215,Kakching
30,BH 3209 KI,Rajesh Patel,109,3.4,6603096999,Bagalkot
31,BH 4182 YR,Arun Verma,96,4.5,7974115897,Varanasi
32,BH 1352 LT,Shivam Patel,145,2.9,7203026535,Itanagar
33,BH 4775 VZ,Arun Patel,110,2.9,1722484943,Summer Hill
34,BH 6418 KN,Amit Gupta,141,4.3,4665380923,Kayamkulam
35,BH 8175 GH,Meera Kumar,63,3.4,8340284353,Kottayam
36,BH 5173 LV,Kavita Goyal,58,5.0,6802958669,Matheran
37,BH 5842 OQ,Meera Sheoran,130,3.9,7476691273,Chamoli
38,BH 0939 VY,Sourav Verma,115,4.4,6013440088,Chandigarh
39,BH 7436 JL,Kavita Sheoran,95,3.8,7501762671,Dausa
40,BH 2928 VQ,Sita Kumar,129,3.7,1765689003,Goa
41,BH 7541 GN,Meera Singh,79,2.5,9473792859,Gomoh
42,BH 3694 UV,Meera Patel,128,3.7,6726200420,Dongargarh
43,BH 2995 LN,Neha Reddy,124,3.6,3912427318,Joginder Nagar
44,BH 4157 UY,Sanjay Jindal,137,2.7,5498874707,Angamaly
45,BH 5953 IF,Arun Jindal,64,2.1,7141535999,Balasore
46,BH 3520 NW,Vedant Mishra,113,5.0,6874475927,Bidar
47,BH 5622 DQ,Sourav Jha,93,2.2,6000634325,Calicut Mini (Beypore
48,BH 4750 BC,Priya Verma,78,2.4,7247196931,Serchhip
49,BH 8542 OP,Rajesh Goyal,107,4.5,2335952077,Lunglei
50,BH 5338 OC,Priya Jha,109,4.4,5462328835,Mahe
